Timestamp,Session_ID,Group_ID,Winning_Door,Initial_Door,Alt_Door,Final_Door,Is_Switched,Is_Win,Reading_Time_MS
28.08.2026 0:54:14,964c163e-0603-49c4-b7d7-8364dc5bc695,Group_B,3,9,3,3,1,1,15723
28.08.2026 0:54:18,c6128a63-3292-4ee1-b85d-cf42bc8a188a,Group_B,5,1,5,5,1,1,2027
28.08.2026 0:54:22,3df0bd37-d235-408f-bfeb-f7c037cb17c0,Group_B,8,1,8,8,1,1,3484
28.08.2026 0:54:29,b5765ee9-8570-4771-9a81-2775c545455a,Group_C,10,7,10,10,1,1,11455
28.08.2026 0:54:39,3f71d753-5b9e-4fed-baf6-6ea50d20cda9,Group_A,10,1,10,10,1,1,2188
28.08.2026 0:54:40,91f2d650-a648-4ca3-9591-69c8cb7dc2a7,Group_A,2,8,2,2,1,1,5158
28.08.2026 0:54:45,ce90e9c3-f06e-464d-975a-2e7a2e24428d,Group_A,1,3,1,1,1,1,1025
28.08.2026 0:54:51,d63e3719-721f-45f1-a7ee-f9126695b155,Group_C,3,8,3,8,0,0,14249
28.08.2026 0:54:59,a12f4b43-38e8-453b-a93c-3a76a94846bf,Group_D,4,2,4,4,1,1,4732
28.08.2026 0:55:02,26cd0d5f-2e1d-4fbe-8b65-ffa8aa39d661,Group_D,1,5,1,1,1,1,19465
28.08.2026 0:55:11,ffb572e4-d366-4586-85e0-4bfcb09ee6bb,Group_C,1,1,8,1,0,1,8000
28.08.2026 0:55:21,cdab9271-2f80-43e9-90be-78aa83ef5d4a,Group_B,9,1,9,9,1,1,10310
28.08.2026 0:55:28,6ec40cba-4d0d-46cf-b5b8-9087310fb8d4,Group_C,6,1,6,6,1,1,671
28.08.2026 0:55:33,d7d55f6d-2393-4285-9365-5cc7aba287f8,Group_C,6,4,6,4,0,0,8855
28.08.2026 0:55:33,950698d1-1882-47c3-b747-750cf7ee349b,Group_A,9,1,9,9,1,1,4503
28.08.2026 0:55:41,a6dac6c3-fbcd-45d2-aebf-e9cfb3d17736,Group_D,3,9,3,9,0,0,22836
28.08.2026 0:55:45,1b1a28b4-b80d-410a-84f2-c63e1c394f8e,Group_D,4,5,4,4,1,1,5922
28.08.2026 0:55:46,3a0c93b9-9af6-40df-af1d-8cbd26a2c7fc,Group_D,1,2,1,1,1,1,24451
28.08.2026 0:56:04,80b2210e-b21d-4882-b2e6-7d0549176546,Group_A,5,1,5,5,1,1,13220
28.08.2026 0:56:08,af4a331c-8892-492a-9dcb-f637618b0187,Group_C,4,9,4,9,0,0,41041
28.08.2026 0:56:10,f7332341-516c-40c3-8cb6-f739efa6c255,Group_B,6,8,6,6,1,1,14586
28.08.2026 0:56:14,62701e57-b112-4570-8968-cce342005694,Group_C,4,10,4,4,1,1,7152
28.08.2026 0:56:15,992fde47-609d-49d7-a971-d0b230fe33ef,Group_D,10,8,10,10,1,1,15378
28.08.2026 0:56:16,e01334b9-cd7a-4f4f-b407-e2a5f6086bf5,Group_C,2,1,2,2,1,1,1312
28.08.2026 0:56:25,5cf54923-3cc9-4201-930d-cc0f105d3397,Group_A,6,8,6,8,0,0,3848
